Ordem,ID,Nome,WhatsApp,Email,UF,Cidade,Segmento,Orcamento,Prazo,Score,Status,Motivos_resumo,Motor_score,Modelo_score,Probabilidade_qualificado,Score_calculado_em
129,9814ac7b-bcb2-4beb-add2-356b8f6e4d81,Mariana Duarte 0116,5511999510696,-,SP,Sao Paulo,SERVICOS,0-5k,7d,88,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,70.5%,2026-02-15T19:03:15.582Z
130,86131b04-543d-4420-ae4a-e61e69d8c17f,Aline Ribeiro 0224,5531957763834,lead.demo.1771182195875.0224@exemplo.com,MG,Juiz de Fora,EQUIPAMENTOS,60k+,90d,54,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,57.6%,2026-02-15T19:03:15.582Z
131,c46f6718-1714-47ac-a51a-9e02ca2841af,Andre Ribeiro 0441,5511951235136,lead.demo.1771182196126.0441@exemplo.com,SP,Ribeirao Preto,CAVALOS,60k+,30d,43,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,9.3%,2026-02-15T19:03:15.582Z
132,80e25dfa-ffd0-4995-8d2f-4baf846035c5,Felipe Nogueira 0011,5511920088337,lead.demo.1771182195600.0011@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,60k+,7d,91,ENVIADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,98.0%,2026-02-15T19:03:15.582Z
133,6aa54444-1d3c-4257-94bf-83c7d284c1c3,Lucas Ribeiro 0109,-,-,GO,Goiania,SERVICOS,5k-20k,90d,69,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,36.5%,2026-02-15T19:03:15.582Z
134,d5a10f05-194b-4b08-9f75-8f38c88b6228,Rafael Carvalho 0101,5562920735516,lead.demo.1771182195717.0101@exemplo.com,GO,Goiania,SERVICOS,5k-20k,90d,45,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,49.4%,2026-02-15T19:03:15.582Z
135,f2bd7c47-7068-47a6-b181-65388077a3f2,Larissa Teixeira 0292,5562983774226,lead.demo.1771182195955.0292@exemplo.com,GO,Rio Verde,SERVICOS,60k+,7d,72,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,81.4%,2026-02-15T19:03:15.582Z
136,1340c008-34cb-464f-b86a-2fd39217ae61,Aline Rocha 0189,5511989585734,lead.demo.1771182195831.0189@exemplo.com,SP,Ribeirao Preto,CAVALOS,60k+,30d,42,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,15.0%,2026-02-15T19:03:15.582Z
137,dfbd0015-9a8c-4b50-bcd7-b4e4ba273760,Eduardo Rocha 0363,5562969003017,-,GO,Aparecida de Goiania,EVENTOS,20k-60k,7d,30,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,8.7%,2026-02-15T19:03:15.582Z
138,b768050c-bd1a-4abb-bd8c-380c4aadcd61,Juliana Pires 0051,5562982066372,lead.demo.1771182195653.0051@exemplo.com,GO,Jatai,CAVALOS,5k-20k,90d,94,ENVIADO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,91.5%,2026-02-15T19:03:15.582Z
139,505f8dc0-09ea-4ee1-afc4-710616271a9a,Aline Fernandes 0202,5511994902234,lead.demo.1771182195848.0202@exemplo.com,SP,Ribeirao Preto,EQUIPAMENTOS,60k+,90d,79,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,82.0%,2026-02-15T19:03:15.582Z
140,03e790f0-29dd-4795-b7f3-661acce09087,Juliana Almeida 0378,5531931918846,-,MG,Uberlandia,EQUIPAMENTOS,60k+,7d,38,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,17.2%,2026-02-15T19:03:15.582Z
141,fd5d50c2-dc73-4b47-bd9f-3124aae64d80,Lucas Barros 0304,5531978180191,lead.demo.1771182195972.0304@exemplo.com,MG,Contagem,SERVICOS,5k-20k,30d,42,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,10.4%,2026-02-15T19:03:15.582Z
142,b6fc6337-b898-4101-8fc1-0b0c79da7c4d,Bruno Melo 0247,5562995910248,lead.demo.1771182195902.0247@exemplo.com,GO,Goiania,CAVALOS,5k-20k,7d,58,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,66.6%,2026-02-15T19:03:15.582Z
143,6798a655-43d8-4844-9b5c-00c50e8fef01,Thiago Pires 0008,5531998713877,lead.demo.1771182195596.0008@exemplo.com,MG,Montes Claros,CAVALOS,5k-20k,7d,20,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,16.7%,2026-02-15T19:03:15.582Z
144,0f16787b-acc8-4299-8359-414aa8c27936,Thiago Carvalho 0282,5562982155967,lead.demo.1771182195944.0282@exemplo.com,GO,Anapolis,EQUIPAMENTOS,20k-60k,30d,33,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,17.3%,2026-02-15T19:03:15.582Z
145,bf88f206-15ec-4a08-ac33-5bb0a182fa82,Diego Almeida 0163,5511941680975,lead.demo.1771182195798.0163@exemplo.com,SP,Sao Jose dos Campos,CAVALOS,60k+,90d,28,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,24.8%,2026-02-15T19:03:15.582Z
146,223280c1-791e-4b61-91e6-cd37ed6998ce,Felipe Leite 0323,5511952335001,lead.demo.1771182195995.0323@exemplo.com,SP,Sao Paulo,SERVICOS,5k-20k,30d,38,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,14.4%,2026-02-15T19:03:15.582Z
147,c6e6eacc-016c-42c0-879c-294a4db608eb,Renata Barros 0194,5511978263061,lead.demo.1771182195837.0194@exemplo.com,SP,Campinas,EVENTOS,0-5k,7d,65,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,41.5%,2026-02-15T19:03:15.582Z
148,6544319c-3d72-459c-9453-cb5ddc14941f,Eduardo Pires 0121,5511919258555,-,SP,Sao Jose dos Campos,EQUIPAMENTOS,0-5k,90d,21,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,5.3%,2026-02-15T19:03:15.582Z
149,b0d091ad-5a5c-4e0f-b458-91bb37354843,Andre Duarte 0105,5531920613513,lead.demo.1771182195721.0105@exemplo.com,MG,Juiz de Fora,CAVALOS,0-5k,90d,75,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,86.5%,2026-02-15T19:03:15.582Z
150,7a925ce8-03dc-4ddc-8d86-89509ecc77fc,Lucas Rocha 0212,5531952225696,lead.demo.1771182195860.0212@exemplo.com,MG,Contagem,EVENTOS,60k+,30d,85,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,78.9%,2026-02-15T19:03:15.582Z
151,bf678a46-e475-4280-81c2-182fdfda0b0e,Vanessa Mendes 0075,5511910776003,lead.demo.1771182195684.0075@exemplo.com,SP,Ribeirao Preto,EQUIPAMENTOS,0-5k,30d,25,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,5.5%,2026-02-15T19:03:15.582Z
152,edecaf92-323d-4e80-a975-c14e82461c2d,Rafael Freitas 0258,5531982118830,lead.demo.1771182195916.0258@exemplo.com,MG,Juiz de Fora,EVENTOS,5k-20k,30d,41,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,14.3%,2026-02-15T19:03:15.582Z
153,4fdb6b1d-f0df-49b6-b72d-217b7f76be11,Camila Barros 0085,5562967652808,lead.demo.1771182195696.0085@exemplo.com,GO,Jatai,SERVICOS,60k+,90d,85,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,87.9%,2026-02-15T19:03:15.582Z
154,fb0b80cf-c8b0-4c7a-a6e3-fdeb7ee243e2,Lucas Moraes 0017,5511942679334,lead.demo.1771182195608.0017@exemplo.com,SP,Sorocaba,CAVALOS,5k-20k,90d,74,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,70.6%,2026-02-15T19:03:15.582Z
155,1a9cd841-a590-4549-9c41-4999a2a64f38,Mariana Freitas 0333,5531913319507,lead.demo.1771182196007.0333@exemplo.com,MG,Juiz de Fora,EVENTOS,0-5k,7d,43,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,33.3%,2026-02-15T19:03:15.582Z
156,4a01a954-2b73-44d8-9149-9bcfab8e703f,Gustavo Mendes 0225,5511924872820,lead.demo.1771182195876.0225@exemplo.com,SP,Ribeirao Preto,CAVALOS,60k+,90d,80,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,83.5%,2026-02-15T19:03:15.582Z
157,12db9fbd-4605-4622-9d39-26fb819f50a1,Lucas Moraes 0432,5531941733247,lead.demo.1771182196114.0432@exemplo.com,MG,Contagem,EQUIPAMENTOS,5k-20k,30d,21,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,18.0%,2026-02-15T19:03:15.582Z
158,01a42967-95ca-4862-8fbd-a41a56b26b10,Rafael Ribeiro 0024,5531954528386,lead.demo.1771182195618.0024@exemplo.com,MG,Montes Claros,CAVALOS,20k-60k,7d,44,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,20.0%,2026-02-15T19:03:15.582Z
159,66ba8320-93d8-42a6-9d98-bccaecedd239,Diego Freitas 0347,-,-,MG,Juiz de Fora,SERVICOS,20k-60k,30d,38,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,5.2%,2026-02-15T19:03:15.582Z
160,b50cebd7-129a-47f4-a7fc-bb947d3d305e,Vanessa Carvalho 0185,5562933393921,lead.demo.1771182195825.0185@exemplo.com,GO,Aparecida de Goiania,CAVALOS,0-5k,7d,72,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,76.3%,2026-02-15T19:03:15.582Z
161,3c949982-da7c-4f63-8d95-789149f7b406,Camila Leite 0366,-,lead.demo.1771182196044.0366@exemplo.com,SP,Sao Paulo,EQUIPAMENTOS,60k+,90d,43,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,18.4%,2026-02-15T19:03:15.582Z
162,f8ad5a14-7211-4091-aa1e-be1aaff81d58,Aline Moraes 0026,-,lead.demo.1771182195621.0026@exemplo.com,GO,Goiania,CAVALOS,20k-60k,7d,28,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,5.2%,2026-02-15T19:03:15.582Z
163,7f938493-7f12-44b6-bf44-616f929e3cee,Andre Nogueira 0088,-,lead.demo.1771182195701.0088@exemplo.com,SP,Campinas,EQUIPAMENTOS,20k-60k,30d,46,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,38.9%,2026-02-15T19:03:15.582Z
164,4eb87986-3f99-4bb9-bd99-afa1934d7677,Lucas Santana 0386,5511935578050,lead.demo.1771182196065.0386@exemplo.com,SP,Sao Paulo,CAVALOS,5k-20k,30d,22,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,16.4%,2026-02-15T19:03:15.582Z
165,d3eb0be7-8d09-4287-ab7a-addb4f8f006d,Eduardo Moraes 0427,-,lead.demo.1771182196110.0427@exemplo.com,MG,Uberlandia,EQUIPAMENTOS,60k+,30d,28,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,13.1%,2026-02-15T19:03:15.582Z
166,b73aeae8-5e44-4267-81b9-a6dc2a5b3598,Thiago Teixeira 0365,5562946213487,lead.demo.1771182196043.0365@exemplo.com,GO,Anapolis,CAVALOS,60k+,7d,18,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,28.7%,2026-02-15T19:03:15.582Z
167,d67caa61-d651-42d9-bddf-40e074c6f454,Patricia Moraes 0083,5531964528444,lead.demo.1771182195694.0083@exemplo.com,MG,Contagem,CAVALOS,60k+,90d,43,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,33.3%,2026-02-15T19:03:15.582Z
168,5309a784-39b7-441d-a953-767ec4732a29,Aline Almeida 0240,5562985079817,-,GO,Jatai,EQUIPAMENTOS,60k+,90d,43,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,27.1%,2026-02-15T19:03:15.582Z
169,fe801525-e783-42e7-a5c4-91933cfacd45,Bianca Freitas 0435,5511955122382,lead.demo.1771182196117.0435@exemplo.com,SP,Campinas,EVENTOS,5k-20k,30d,55,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,67.4%,2026-02-15T19:03:15.582Z
170,4db325c7-e8a9-4ad3-b5a7-8a73264d193f,Andre Pires 0208,5531988882829,lead.demo.1771182195856.0208@exemplo.com,MG,Uberlandia,EVENTOS,5k-20k,7d,69,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,56.6%,2026-02-15T19:03:15.582Z
171,425d474f-ee57-4f18-aca3-aac4571d8d17,Rodrigo Moraes 0100,5531924784033,lead.demo.1771182195716.0100@exemplo.com,MG,Contagem,SERVICOS,5k-20k,30d,61,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,35.6%,2026-02-15T19:03:15.582Z
172,57e9eee1-dc69-41da-896a-5a35ee5706d2,Aline Leite 0325,5511975689969,-,SP,Sorocaba,SERVICOS,0-5k,90d,23,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,9.5%,2026-02-15T19:03:15.582Z
173,666da729-2f2f-4907-b077-69931f6beb2e,Thiago Martins 0376,5531945540307,lead.demo.1771182196053.0376@exemplo.com,MG,Juiz de Fora,EQUIPAMENTOS,0-5k,30d,78,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,87.2%,2026-02-15T19:03:15.582Z
174,ea6f49b2-63ef-4e33-b9fa-83845143695d,Aline Almeida 0126,5511964500195,lead.demo.1771182195752.0126@exemplo.com,SP,Sorocaba,SERVICOS,20k-60k,30d,49,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,44.4%,2026-02-15T19:03:15.582Z
175,be3c0f15-3c49-458f-a8b3-c7d36f7672df,Renata Nogueira 0049,5511924290927,lead.demo.1771182195651.0049@exemplo.com,SP,Sao Paulo,EQUIPAMENTOS,5k-20k,30d,44,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,9.2%,2026-02-15T19:03:15.582Z
176,20c023e3-e782-45a0-ae2b-9072d11de11e,Carla Duarte 0278,5511946772314,-,SP,Sao Jose dos Campos,SERVICOS,5k-20k,7d,72,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,76.1%,2026-02-15T19:03:15.582Z
177,ce5f704c-ea65-4bbf-91c9-964a2a362a28,Camila Carvalho 0117,5531978330542,lead.demo.1771182195740.0117@exemplo.com,MG,Montes Claros,CAVALOS,5k-20k,7d,27,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,25.2%,2026-02-15T19:03:15.582Z
178,fca73933-0f6d-48f0-ba9e-07211d7f3aac,Vanessa Nogueira 0241,-,-,MG,Contagem,SERVICOS,60k+,90d,74,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,72.5%,2026-02-15T19:03:15.582Z
179,516f1a86-6160-4924-ab61-5015bb12e655,Felipe Gomes 0226,5511949524471,lead.demo.1771182195878.0226@exemplo.com,SP,Sao Paulo,EVENTOS,20k-60k,7d,18,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,20.3%,2026-02-15T19:03:15.582Z
180,5b34725f-b52f-46ad-95dd-879f87fbf0cf,Lucas Freitas 0071,5531912637801,lead.demo.1771182195679.0071@exemplo.com,MG,Juiz de Fora,EQUIPAMENTOS,0-5k,90d,21,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,14.8%,2026-02-15T19:03:15.582Z
181,7ced8361-aeb1-42d3-b9a1-856166e458b0,Rodrigo Duarte 0284,5511978511134,-,SP,Ribeirao Preto,EVENTOS,20k-60k,7d,68,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,52.0%,2026-02-15T19:03:15.582Z
182,7dcc17e6-45d1-4fe6-ba82-d18cd5d7e8f7,Juliana Rocha 0192,5511958798638,-,SP,Sao Jose dos Campos,CAVALOS,5k-20k,90d,84,ENVIADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,95.3%,2026-02-15T19:03:15.582Z
183,04e4b140-655e-4128-87a6-1fc742eae571,Bruno Freitas 0394,5511915888158,lead.demo.1771182196073.0394@exemplo.com,SP,Campinas,EVENTOS,0-5k,30d,47,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,65.5%,2026-02-15T19:03:15.582Z
184,92946851-8791-48d7-955e-5a2dd44deb04,Thiago Moraes 0158,5562944288252,lead.demo.1771182195791.0158@exemplo.com,GO,Rio Verde,EVENTOS,60k+,30d,33,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,34.0%,2026-02-15T19:03:15.582Z
185,2f88b1e1-b42d-4d94-87db-16c83b37c6ea,Thiago Carvalho 0028,-,lead.demo.1771182195625.0028@exemplo.com,MG,Contagem,EQUIPAMENTOS,20k-60k,90d,61,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,53.2%,2026-02-15T19:03:15.582Z
186,ebe8a4a4-5fae-479a-8af1-058f6a98f89b,Patricia Leite 0401,5531983191272,lead.demo.1771182196081.0401@exemplo.com,MG,Juiz de Fora,CAVALOS,0-5k,7d,44,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,21.2%,2026-02-15T19:03:15.582Z
187,b182de47-9259-4861-bca5-bba1fe95d571,Bianca Mendes 0275,5562950605178,lead.demo.1771182195937.0275@exemplo.com,GO,Jatai,CAVALOS,0-5k,7d,45,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,66.5%,2026-02-15T19:03:15.582Z
188,90f9dc65-59c5-4ff7-b8b9-394f3d4d33d1,Vanessa Santana 0283,5511934385897,lead.demo.1771182195945.0283@exemplo.com,SP,Ribeirao Preto,EQUIPAMENTOS,60k+,30d,47,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,53.1%,2026-02-15T19:03:15.582Z
189,3e339c53-366a-4f3b-b328-23ea66e3ee12,Juliana Carvalho 0342,5511914798018,lead.demo.1771182196016.0342@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,20k-60k,30d,26,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,18.1%,2026-02-15T19:03:15.582Z
190,af5a15ee-d07a-4df6-a3e9-9867e8c26c07,Rafael Santana 0047,5562941619549,lead.demo.1771182195648.0047@exemplo.com,GO,Rio Verde,SERVICOS,5k-20k,7d,59,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,57.0%,2026-02-15T19:03:15.582Z
191,ed7047fb-bb63-43f0-b1e9-7504f4473713,Carla Teixeira 0191,5562995545308,lead.demo.1771182195833.0191@exemplo.com,GO,Rio Verde,EQUIPAMENTOS,60k+,30d,18,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,10.3%,2026-02-15T19:03:15.582Z
192,06340589-a17e-4e25-9769-857928ab6815,Lucas Leite 0018,5562950088346,-,GO,Aparecida de Goiania,CAVALOS,20k-60k,7d,85,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,86.7%,2026-02-15T19:03:15.582Z
193,416b4079-1930-47fc-8bd8-bf05ab259868,Larissa Rocha 0153,5562972221210,lead.demo.1771182195785.0153@exemplo.com,GO,Goiania,CAVALOS,0-5k,7d,61,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,56.0%,2026-02-15T19:03:15.582Z
194,c10c577d-9af9-4a20-92c3-b6d72623b1b6,Bruno Mendes 0005,5511917317259,lead.demo.1771182195592.0005@exemplo.com,SP,Sorocaba,CAVALOS,0-5k,7d,46,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,50.4%,2026-02-15T19:03:15.582Z
195,9e101ba1-0331-4577-9db0-25b20ef98c4a,Camila Barros 0078,5562920112522,lead.demo.1771182195686.0078@exemplo.com,GO,Anapolis,EVENTOS,20k-60k,7d,69,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,35.5%,2026-02-15T19:03:15.582Z
196,3f1ba761-3dfa-499f-b7bd-88cdd302662f,Mariana Nogueira 0255,5511963714211,lead.demo.1771182195912.0255@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,20k-60k,7d,67,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,58.5%,2026-02-15T19:03:15.582Z
